City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
307,inari,68.906,27.0288,-23.89,98,99,2.72,FI,1704156051
308,nago,26.5881,127.9761,18.24,53,2,2.63,JP,1704156052
309,vila do maio,15.1333,-23.2167,23.44,69,100,6.28,CV,1704156052
310,lashio,22.9333,97.75,10.44,87,0,0.58,MM,1704156052
311,sadovoye,47.7764,44.5089,0.53,75,100,3.82,RU,1704156052
312,luynes,47.3844,0.5547,11.36,91,100,7.72,FR,1704156052
313,fort bragg,35.139,-79.006,8.75,46,75,6.17,US,1704156052
314,gannat,46.1002,3.1989,8.88,84,100,4.76,FR,1704156053
315,batang,-6.4846,110.7083,29.22,74,92,0.68,ID,1704156053
316,novoagansk,61.9449,76.6625,-24.09,95,100,5.06,RU,1704156053
317,severobaykal'sk,55.65,109.3167,-10.83,85,70,3.45,RU,1704156053
318,arkhangel'sk,64.5401,40.5433,-20.94,77,40,3.0,RU,1704156053
319,laascaanood,8.4774,47.3597,17.89,74,7,2.86,SO,1704156053
320,akureyri,65.6835,-18.0878,3.96,75,100,4.12,IS,1704156053
321,shasta lake,40.6804,-122.3708,11.85,78,18,0.51,US,1704156054
322,hasaki,35.7333,140.8333,6.27,58,95,5.49,JP,1704156054
323,ulan bator,47.9077,106.8832,-31.93,75,2,1.0,MN,1704155989
324,mugia,43.1041,-9.2179,14.39,88,100,15.04,ES,1704156054
325,arraias,-12.9288,-46.9437,22.02,80,100,0.32,BR,1704156054
326,sao jose da coroa grande,-8.8978,-35.1478,26.67,77,27,3.63,BR,1704156054
327,arno,60.1167,18.6333,-7.9,74,100,6.36,SE,1704156054
328,puerto santa,-8.9906,-78.6456,21.83,83,43,4.72,PE,1704156055
329,siwa oasis,29.2041,25.5195,13.24,61,0,2.06,EG,1704156055
330,nishon tumani,38.694,65.6751,3.14,75,20,0.0,UZ,1704156055
331,gokarna,14.55,74.3167,23.64,64,100,3.49,IN,1704156055
332,palikir - national government center,6.9248,158.1611,30.47,74,75,5.14,FM,1704156055
333,yuzhno-kurilsk,44.0306,145.8556,-2.01,72,100,3.23,RU,1704156056
334,shimoda,34.6667,138.95,11.2,82,100,1.81,JP,1704156056
335,papayal,-4.0761,-80.7361,25.71,64,100,2.09,PE,1704156056
336,hammerfest,70.6634,23.6821,-3.75,74,100,5.14,NO,1704156056
337,smithers,54.7804,-127.1743,-0.82,100,100,1.54,CA,1704156056
338,ko lanta,7.5336,99.0865,25.74,85,100,4.94,TH,1704156056
339,tofol,5.3248,163.0078,28.88,84,75,7.72,FM,1704156056
340,malabar,-33.9667,151.25,28.43,68,75,9.77,AU,1704156057
341,inhambane,-23.865,35.3833,24.76,88,100,7.45,MZ,1704156057
342,kone,-21.0595,164.8658,32.85,46,24,1.97,NC,1704156057
343,clarksdale,34.2001,-90.5709,1.62,80,0,4.63,US,1704156057
344,hithadhoo,-0.6,73.0833,27.52,76,84,1.35,MV,1704156057
345,sinabang,2.4803,96.3801,26.93,79,89,1.09,ID,1704156057
346,shihezi,44.3,86.0333,-6.79,95,100,0.69,CN,1704156058
347,orcopampa,-15.2661,-72.3417,9.37,68,99,2.74,PE,1704156058
348,borogontsy,62.6683,131.1683,-34.32,100,82,1.66,RU,1704156058
349,val-d'or,48.1002,-77.7828,-6.95,79,100,4.63,CA,1704156058
350,ta`u,-14.2336,-169.5144,28.14,72,100,2.05,AS,1704155824
351,cill airne,52.05,-9.5167,10.6,91,100,3.63,IE,1704156058
352,cacoal,-11.4386,-61.4472,24.23,90,95,1.23,BR,1704156059
353,santa rosa,14.3122,121.1114,28.38,82,78,5.28,PH,1704156059
354,tirhanimine,35.2362,-3.9545,12.94,67,0,2.57,MA,1704156059
355,lijiang,26.8688,100.2207,0.86,65,1,1.81,CN,1704156059
356,general pinedo,-27.3167,-61.2833,27.38,56,78,4.71,AR,1704156059
357,nichinan,31.6,131.3667,8.82,57,4,1.53,JP,1704156059
358,tynda,55.1667,124.7167,-31.77,100,44,0.94,RU,1704156059
